CommitId;RefactoringType;RefactoringDetail
db751b911b56fecff1bce1ce33320e4308158c6a;Extract Method;Extract Method	package getLambdaRaw() : double extracted from package getLambda() : int in class org.apache.commons.rng.sampling.distribution.LargeMeanPoissonSampler.LargeMeanPoissonSamplerState
db751b911b56fecff1bce1ce33320e4308158c6a;Rename Variable;Rename Variable	state : LargeMeanPoissonSamplerState to state1 : LargeMeanPoissonSamplerState in method private testPoissonSamples(rng1 RestorableUniformRandomProvider, rng2 RestorableUniformRandomProvider, mean double) : void in class org.apache.commons.rng.sampling.distribution.LargeMeanPoissonSamplerTest
65abc5dcfe4198b4244d4083d790ea870edbebe5;Rename Method;Rename Method	public testMissingSetStateInternal() : void renamed to public testWrongStateSize() : void in class org.apache.commons.rng.core.BaseProviderTest
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source32.AbstractWell & moved to class org.apache.commons.rng.core.BaseProvider
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source32.ISAACRandom & moved to class org.apache.commons.rng.core.BaseProvider
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source32.KISSRandom & moved to class org.apache.commons.rng.core.BaseProvider
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source32.MersenneTwister & moved to class org.apache.commons.rng.core.BaseProvider
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source32.MultiplyWithCarry256 & moved to class org.apache.commons.rng.core.BaseProvider
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source64.MersenneTwister64 & moved to class org.apache.commons.rng.core.BaseProvider
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source64.SplitMix64 & moved to class org.apache.commons.rng.core.BaseProvider
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source64.TwoCmres & moved to class org.apache.commons.rng.core.BaseProvider
65abc5dcfe4198b4244d4083d790ea870edbebe5;Extract And Move Method;Extract And Move Method	protected splitStateInternal(state byte[], localStateLength int) : byte[][] extracted from protected setStateInternal(s byte[]) : void in class org.apache.commons.rng.core.source64.XorShift1024Star & moved to class org.apache.commons.rng.core.BaseProvider
5ae875293e0591db9248992343f3c030ea43079f;Extract Method;Extract Method	private swap(array int[], i int, j int) : void extracted from public shuffle(rng UniformRandomProvider, list int[], start int, towardHead boolean) : void in class org.apache.commons.rng.sampling.PermutationSampler
5ae875293e0591db9248992343f3c030ea43079f;Rename Parameter;Rename Parameter	list : int[] to array : int[] in method private swap(array int[], i int, j int) : void in class org.apache.commons.rng.sampling.PermutationSampler
5ae875293e0591db9248992343f3c030ea43079f;Rename Variable;Rename Variable	temp : int to tmp : int in method private swap(array int[], i int, j int) : void in class org.apache.commons.rng.sampling.PermutationSampler
5ae875293e0591db9248992343f3c030ea43079f;Parameterize Variable;Parameterize Variable	target : int to i : int in method private swap(array int[], i int, j int) : void in class org.apache.commons.rng.sampling.PermutationSampler
5ae875293e0591db9248992343f3c030ea43079f;Parameterize Variable;Parameterize Variable	i : int to j : int in method private swap(array int[], i int, j int) : void in class org.apache.commons.rng.sampling.PermutationSampler
5ae875293e0591db9248992343f3c030ea43079f;Extract Method;Extract Method	private swap(array int[], i int, j int) : void extracted from public shuffle(rng UniformRandomProvider, list int[], start int, towardHead boolean) : void in class org.apache.commons.rng.sampling.PermutationSampler
5ae875293e0591db9248992343f3c030ea43079f;Rename Variable;Rename Variable	temp : int to tmp : int in method private swap(array int[], i int, j int) : void in class org.apache.commons.rng.sampling.PermutationSampler
5ae875293e0591db9248992343f3c030ea43079f;Parameterize Variable;Parameterize Variable	target : int to i : int in method private swap(array int[], i int, j int) : void in class org.apache.commons.rng.sampling.PermutationSampler
5ae875293e0591db9248992343f3c030ea43079f;Parameterize Variable;Parameterize Variable	i : int to j : int in method private swap(array int[], i int, j int) : void in class org.apache.commons.rng.sampling.PermutationSampler
42a2b5160a7d73bc7d4a0beae396ec0daa31c1ae;Extract Method;Extract Method	private runSampleChiSquareTest(n int, k int, p int[][]) : void extracted from public testSampleChiSquareTest() : void in class org.apache.commons.rng.sampling.PermutationSamplerTest
42a2b5160a7d73bc7d4a0beae396ec0daa31c1ae;Move Method;Move Method	private swap(array int[], i int, j int) : void from class org.apache.commons.rng.sampling.CombinationSampler to package swap(array int[], i int, j int) : void from class org.apache.commons.rng.sampling.SubsetSamplerUtils
42a2b5160a7d73bc7d4a0beae396ec0daa31c1ae;Move Method;Move Method	private swap(array int[], i int, j int) : void from class org.apache.commons.rng.sampling.PermutationSampler to package swap(array int[], i int, j int) : void from class org.apache.commons.rng.sampling.SubsetSamplerUtils
